Staten Island Rolling Sales File.  All Sales From May 2016 - April 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 5/1/2017  Co-op Sales Files as of 5/5/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6352,17, ,A1,472 HOLDRIDGE AVENUE                     ,            ,10312, 1 , -   , 1 ," 6,000 "," 3,178 ",1985,1,A1," 800,000 ",11/8/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6354,36, ,A2,673 BARCLAY AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,120 ",1930,1,A2," 439,000 ",6/13/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6356,66, ,A1,436 HAROLD AVENUE                        ,            ,10312, 1 , -   , 1 ," 4,447 "," 2,500 ",1995,1,A1, -   ,3/29/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6360,54, ,A1,50 RYAN PLACE                            ,            ,10312, 1 , -   , 1 ," 6,000 "," 2,013 ",1984,1,A1," 630,000 ",6/20/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6364,37, ,A1,196 NOEL STREET                          ,            ,10312, 1 , -   , 1 ," 6,912 "," 2,420 ",1975,1,A1, -   ,1/18/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6364,87, ,A1,19 LUNA CIRCLE                           ,            ,10312, 1 , -   , 1 ," 15,600 "," 4,560 ",1980,1,A1," 1,250,000 ",3/17/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6367,3, ,A1,283 HOLDRIDGE AVENUE                     ,            ,10312, 1 , -   , 1 ," 4,120 "," 2,275 ",1975,1,A1, -   ,5/25/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6367,40, ,A1,291 SHIRLEY AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,070 ",1979,1,A1," 577,500 ",5/31/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6370,12, ,A1,158 WEAVER STREET                        ,            ,10312, 1 , -   , 1 ," 6,000 "," 2,600 ",1975,1,A1," 740,000 ",10/24/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6370,38, ,A1,272 HOLDRIDGE AVENUE                     ,            ,10312, 1 , -   , 1 ," 6,825 "," 2,672 ",1975,1,A1," 890,000 ",10/25/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6370,64, ,A2,379 SHIRLEY AVENUE                       ,            ,10312, 1 , -   , 1 ," 3,000 ", 975 ,1910,1,A2," 424,068 ",2/28/2017
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6371,32, ,A1,118 JANSEN STREET                        ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,208 ",1970,1,A1, 10 ,12/9/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6371,34, ,A1,114 JANSEN STREET                        ,            ,10312, 1 , -   , 1 ," 6,000 "," 3,691 ",1970,1,A1, -   ,5/25/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6373,38, ,A5,6 WINSLOW PLACE                          ,            ,10312, 1 , -   , 1 ," 7,301 "," 2,058 ",2015,1,A5," 651,680 ",7/28/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6373,40, ,A5,10 WINSLOW PLACE                         ,            ,10312, 1 , -   , 1 ," 3,442 "," 2,058 ",2015,1,A5," 646,588 ",7/5/2016
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6373,41, ,A5,12 WINSLOW PLACE                         ,            ,10312, 1 , -   , 1 ," 3,442 "," 2,058 ",2015,1,A5," 692,410 ",11/30/2016
